docket,violation_address,city,state,cleaned_address,corrected
21DT001246,6540 W BELMLONT,Chicago,Illinois,6540 W BELMONT,True
21DT000881,3149 W ADDISON,Chicago,Illinois,3149 W ADDISON,
20DS75965L,4454 S GREENWOOD AVE,Chicago,Illinois,4454 S GREENWOOD AVE,
20DS75973L,4531 S GREENWOOD AVE,Chicago,Illinois,4531 S GREENWOOD AVE,
23DT000411,4800 N SPRINGFIELD,Chicago,Illinois,4800 N SPRINGFIELD,
23DT000412,3900 W LAWRENCE,Chicago,Illinois,3900 W LAWRENCE,
22DT001070,5144 N CICERO,Chicago,Illinois,5144 N CICERO,
22DT001308,6163 N LINCOLN,Chicago,Illinois,6163 N LINCOLN,
21DT002759,6141 S ARCHER,Chicago,Illinois,6141 S ARCHER,
21DT002760,6141 S ARCHER,Chicago,Illinois,6141 S ARCHER,
20DS75919L,2559 W 47TH ST,Chicago,Illinois,2559 W 47TH ST,
20DT000476,1623 W MONTROSE,Chicago,Illinois,1623 W MONTROSE,
22DT001159,3714 N CENTRAL,Chicago,Illinois,3714 N CENTRAL AVE,True
20DS79222L,1756 W 48TH ST,Chicago,Illinois,1756 W 48TH ST,
22DT001084,2019 W 35TH ST,Chicago,Illinois,2019 W 35TH ST,
21DT000497,124 E 37TH ST,Chicago,Illinois,124 E 37TH ST,
20DS74596L,4402 S CALIFORNIA AVE,Chicago,Illinois,4402 S CALIFORNIA AVE,
22DS04235M,6410 S MAY ST,Chicago,Illinois,6410 S MAY ST,
21DS20688M,4601 S ASHLAND AVE,Chicago,Illinois,4601 S ASHLAND AVE,
22DT000947,4621 W BELMONT,Chicago,Illinois,4621 W BELMONT,
20DS75556L,1724 W 47TH ST,Chicago,Illinois,1724 W 47TH ST,
22DS04197M,1901 W 59TH ST,Chicago,Illinois,1901 W 59TH ST,
22DS04335M,1901 W 59TH ST,Chicago,Illinois,1901 W 59TH ST,
21DT000477,2997 S ARCHER,Chicago,Illinois,2997 S ARCHER,
22DT000696,2800 S WALLACE,Chicago,Illinois,2800 S WALLACE,
21DT000930,1429 W IRVING PARK,Chicago,Illinois,1429 W IRVING PARK,
21DT000853,6831 W GRAND,Chicago,Illinois,6831 W GRAND AVE,True
22DT001044,1221 S WABASH,Chicago,Illinois,1221 S WABASH,
21DT001484,601 S CENTRAL PARK,Chicago,Illinois,601 S CENTRAL PARK,
21DT001643,4052 W GRAND,Chicago,Illinois,4052 W GRAND AVE,True
