docket,dept,violation_address,lat,long,community,ward_1523,violation_date,n_records,dept_label
22DS04293M,STRTSAN,6101 S WOOD ST,41.782930050000004,-87.6688762056067,WEST ENGLEWOOD,15,2022-02-09,1,DSS
22DS04294M,STRTSAN,6343 S THROOP ST,41.7782988,-87.65661175169123,WEST ENGLEWOOD,16,2022-02-09,4,DSS
22DS04295M,STRTSAN,5613 S CARPENTER ST,41.791938349999995,-87.65089335677966,ENGLEWOOD,16,2022-02-09,1,DSS
22DS04297M,STRTSAN,5740 S CARPENTER ST,41.78935,-87.65137145619308,ENGLEWOOD,16,2022-02-09,2,DSS
22DS04298M,STRTSAN,6137 S THROOP ST,41.7821373,-87.6568271,WEST ENGLEWOOD,16,2022-02-09,1,DSS
22DS04299M,STRTSAN,6420 S MORGAN ST,41.7772049,-87.6498316,ENGLEWOOD,16,2022-02-09,2,DSS
22DS04300M,STRTSAN,1737 W 59TH ST,41.78661798750201,-87.66827482486696,WEST ENGLEWOOD,15,2022-02-08,1,DSS
22DS04301M,STRTSAN,6426 S SANGAMON ST,41.77708255,-87.64864536568793,ENGLEWOOD,16,2022-02-09,3,DSS
22DS04303M,STRTSAN,6041 S MORGAN ST,41.783934849999994,-87.64948237820549,ENGLEWOOD,16,2022-02-09,1,DSS
22DS04335M,STRTSAN,1901 W 59TH ST,41.786426399999996,-87.67193593863637,WEST ENGLEWOOD,15,2022-02-10,1,DSS
22DS04345M,STRTSAN,1741 W 79TH ST,41.75022328674519,-87.66737085362486,AUBURN GRESHAM,17,2022-02-10,2,DSS
22DS04355M,STRTSAN,4710 S WESTERN AVE,41.807859,-87.68479703503766,BRIGHTON PARK,15,2022-02-08,2,DSS
22DS04357M,STRTSAN,6448 S ABERDEEN ST,41.77639115,-87.65226813204399,ENGLEWOOD,16,2022-02-11,3,DSS
22DS04368M,STRTSAN,5900 S LOOMIS BLVD,41.786691,-87.659647,WEST ENGLEWOOD,16,2022-02-11,3,DSS
22DS04370M,STRTSAN,6159 S ARTESIAN AVE,41.78119315,-87.68464102209302,CHICAGO LAWN,16,2022-02-11,3,DSS
22DS04371M,STRTSAN,6441 S ABERDEEN ST,41.7765691,-87.65170058734029,ENGLEWOOD,16,2022-02-11,2,DSS
22DS04377M,STRTSAN,6459 S ABERDEEN ST,41.7761292,-87.65170082977542,ENGLEWOOD,16,2022-02-11,1,DSS
22DS04400M,STRTSAN,4400 S WASHTENAW AVE,41.813636849999995,-87.69227153763796,BRIGHTON PARK,15,2022-02-14,1,DSS
22DS04401M,STRTSAN,6149 S LOOMIS BLVD,41.7817271,-87.6591619312538,WEST ENGLEWOOD,16,2022-02-14,12,DSS
22DS04410M,STRTSAN,4335 S HONORE ST,41.81477635,-87.67093785010493,NEW CITY,15,2022-02-14,2,DSS
22DS04411M,STRTSAN,4331 S HONORE ST,41.815217310702685,-87.67110636944085,NEW CITY,15,2022-02-14,8,DSS
22DS04527M,STRTSAN,346 E 75TH ST,41.75868385,-87.61639131983068,GREATER GRAND CROSSING,6,2022-01-27,3,DSS
22DS04583M,STRTSAN,1244 W 57TH ST,41.790633549999995,-87.65646060154192,WEST ENGLEWOOD,16,2022-02-15,2,DSS
22DS04683M,STRTSAN,5936 S UNION AVE,41.78605126694817,-87.64262090636919,ENGLEWOOD,20,2022-02-18,5,DSS
22DS04795M,STRTSAN,2820 W 63RD ST,41.779186390792205,-87.6941939940105,CHICAGO LAWN,16,2022-02-18,6,DSS
22DT000599,TRANPORT,4224 W 51ST ST,41.8012094,-87.6769417,NEW CITY,15,2022-01-04,1,CDOT
22DT001139,TRANPORT,2416 W 43RD ST,41.815766,-87.685471,BRIGHTON PARK,15,2022-01-25,1,CDOT
22DT001344,TRANPORT,6318 S HERMITAGE ,41.77851230498201,-87.66797789601736,WEST ENGLEWOOD,15,2022-01-31,1,CDOT
22DT001345,TRANPORT,6316 S HERMITAGE ,41.778531937761784,-87.66797846312654,WEST ENGLEWOOD,15,2022-01-31,3,CDOT
22DT001521,TRANPORT,4910 S DAMEN ,41.804401821804895,-87.67469450306044,NEW CITY,15,2022-02-08,1,CDOT
22DT001522,TRANPORT,4400 S WASHTENAW ,41.813636849999995,-87.69227153763796,BRIGHTON PARK,15,2022-02-08,1,CDOT
22DT001815,TRANPORT,7101 S ASHLAND ,41.76455115,-87.66326065,WEST ENGLEWOOD,17,2022-02-07,1,CDOT
22DT001816,TRANPORT,7059 S ASHLAND ,41.765199,-87.66347404285048,WEST ENGLEWOOD,17,2022-02-07,1,CDOT
22DT001820,TRANPORT,7050 S DAMEN ,41.76501485,-87.67387276308253,WEST ENGLEWOOD,17,2022-02-03,1,CDOT
22DT001821,TRANPORT,6649 S HALSTED ST,41.772939857370844,-87.6444996863416,ENGLEWOOD,6,2022-02-03,1,CDOT
22DT001822,TRANPORT,7600 S HALSTED ST,41.755963,-87.644291,AUBURN GRESHAM,17,2022-02-03,1,CDOT
22DT001823,TRANPORT,7901 S DAMEN ,41.749651,-87.673006,AUBURN GRESHAM,17,2022-02-09,1,CDOT
23DS09565M,STRTSAN,6741 S CAMPBELL AVE,41.77069865,-87.68556792006024,CHICAGO LAWN,17,2023-01-30,2,DSS
23DS10124M,STRTSAN,6208 S MAY ST,41.781095199999996,-87.6535795,ENGLEWOOD,16,2022-11-21,6,DSS
23DS12223M,STRTSAN,2413 W 59TH ST,41.7863531,-87.68452177339168,CHICAGO LAWN,16,2023-01-27,2,DSS
23DS12463M,STRTSAN,6725 S CAMPBELL AVE,41.771159600000004,-87.68556595501687,CHICAGO LAWN,17,2023-01-30,1,DSS
23DS12474M,STRTSAN,5514 S WOLCOTT AVE,41.7930567,-87.67214746474576,WEST ENGLEWOOD,15,2023-01-31,1,DSS
23DS12476M,STRTSAN,1533 W GARFIELD BLVD,41.79412749150964,-87.66357971791919,NEW CITY,16,2023-01-31,1,DSS
23DS12477M,STRTSAN,5544 S WOLCOTT AVE,41.79226,-87.67208402009223,WEST ENGLEWOOD,15,2023-01-31,1,DSS
23DS13066M,STRTSAN,2435 W 64TH ST,41.77729225,-87.68514370037326,CHICAGO LAWN,16,2023-02-02,2,DSS
23DS13151M,STRTSAN,2422 W 64 ST,41.77750848889021,-87.68458793328168,CHICAGO LAWN,16,2023-02-02,1,DSS
23DT000415,TRANPORT,3110 W 61ST ST,41.78272092670012,-87.70120466499394,CHICAGO LAWN,16,2023-01-27,1,CDOT
23DT000416,TRANPORT,3110 W 61ST ST,41.78272092670012,-87.70120466499394,CHICAGO LAWN,16,2023-01-24,1,CDOT
23DT000417,TRANPORT,3110 W 61ST ST,41.78272092670012,-87.70120466499394,CHICAGO LAWN,16,2023-01-26,1,CDOT
23DT000418,TRANPORT,3110 W 61ST ST,41.78272092670012,-87.70120466499394,CHICAGO LAWN,16,2023-01-19,1,CDOT
23DT000422,TRANPORT,3110 W 61ST ST,41.78272092670012,-87.70120466499394,CHICAGO LAWN,16,2023-01-17,1,CDOT
23DT000423,TRANPORT,3110 W 61ST ST,41.78272092670012,-87.70120466499394,CHICAGO LAWN,16,2023-01-25,1,CDOT
