community_name,2020_pop,vac_hu,hu_tot,vacant,vacperc,community_caps,n_BAFCONP,n_POLICE,n_STRTSAN,n_TRANPORT,n_dockets,n_311_complaints,dp10k,streets_p10k,cdot_p10k,police_p10k,n_p10k,311_p10k,complaint_ratio
Lincoln Square,40494,1325.0,19806.0,6.630723456,0.004048001,LINCOLN SQUARE,0,0,13,24,37.0,929,2.2842890304736505,0.8025880377339852,1.4817009927396652,0.0,0.0,57.354175927297874,0.02583423035522067
Logan Square,71665,2819.0,33565.0,41.15564613,0.017917085,LOGAN SQUARE,0,0,3,50,53.0,1587,1.8488802065164307,0.10465359659526965,1.744226609921161,0.0,0.0,55.361752598897645,0.0315059861373661
Lower West Side,33751,1425.0,14057.0,138.8942203,0.074189804,LOWER WEST SIDE,0,0,15,23,38.0,325,2.8147314153654706,1.1110781902758438,1.703653225089627,0.0,0.0,24.073360789309945,0.07076923076923076
McKinley Park,15923,365.0,5731.0,47.00444034,0.051925437,MCKINLEY PARK,0,0,0,14,14.0,108,2.1980782515857564,0.0,2.1980782515857564,0.0,0.0,16.95660365509012,0.12962962962962962
Montclare,14401,340.0,4952.0,6.612486569,0.010445163,MONTCLARE,0,0,0,19,19.0,81,3.298382056801611,0.0,3.298382056801611,0.0,0.0,14.061523505312131,0.2345679012345679
Morgan Park,21186,754.0,8781.380623,63.35235661,0.030036009,MORGAN PARK,0,1,0,1,2.0,55,0.23600490890210515,0.0,0.11800245445105258,0.11800245445105258,0.0,6.490134994807892,0.01818181818181818
Mount Greenwood,18628,364.0,7309.0,2.327453506,0.001341335,MOUNT GREENWOOD,0,0,0,0,0.0,18,0.0,0.0,0.0,0.0,0.0,2.415718273566674,0.0
Near North Side,105481,10791.0,69884.0,47.32375394,0.026959846,NEAR NORTH SIDE,0,0,0,71,71.0,746,1.6827675126326067,0.0,1.6827675126326067,0.0,0.0,17.680909358083447,0.09517426273458444
Near South Side,28795,632.0,16202.0,89.92410126,0.078819742,NEAR SOUTH SIDE,0,0,0,41,41.0,174,3.559645771835388,0.0,3.559645771835388,0.0,0.0,15.106789373155062,0.23563218390804597
Near West Side,67881,3599.0,33118.0,188.1513545,0.051711436,NEAR WEST SIDE,0,0,3,78,81.0,590,2.983161709462147,0.11048747072082025,2.8726742387413267,0.0,0.0,21.72920257509465,0.13220338983050847
New City,43628,2510.731501,15777.66292,287.8084858,0.09311661,NEW CITY,0,0,63,7,70.0,123,4.011185477216467,3.61006692949482,0.4011185477216466,0.0,0.0,7.048225909966077,0.056910569105691054
North Center,35114,1576.0,15813.0,8.64295805,0.006598769,NORTH CENTER,0,0,0,20,20.0,523,1.4239334738281026,0.0,1.4239334738281026,0.0,0.0,37.23586034060489,0.03824091778202677
North Lawndale,34794,3211.0,14543.0,305.6513965,0.14878264,NORTH LAWNDALE,0,0,1,10,11.0,130,0.7903661550842099,0.07185146864401909,0.7185146864401908,0.0,0.0,9.34069092372248,0.07692307692307693
North Park,17559,656.0,7384.0,12.4071269,0.007689065,NORTH PARK,0,0,1,9,10.0,104,1.4237712853807165,0.14237712853807163,1.2813941568426448,0.0,0.0,14.807221367959452,0.08653846153846154
Norwood Park,38303,575.6231721,15494.09159,6.816159015,0.00243452,NORWOOD PARK,0,0,1,5,6.0,175,0.3916142338720205,0.06526903897867008,0.3263451948933504,0.0,0.0,11.422081821267264,0.02857142857142857
Oakland,6799,236.0,3380.0,36.86530783,0.099090479,OAKLAND,0,0,1,12,13.0,42,4.780114722753346,0.36770113251948816,4.412413590233858,0.0,0.0,15.443447565818502,0.2857142857142857
O'Hare,13418,330.8333333,6908.502756,0.34317257,4.02e-05,O'HARE,0,0,0,0,0.0,34,0.0,0.0,0.0,0.0,0.0,6.334774183932032,0.0
Portage Park,63020,2225.0,24794.0,9.484565245,0.003749204,PORTAGE PARK,0,0,3,14,17.0,551,0.6743890828308473,0.11900983814662013,0.5553792446842273,0.0,0.0,21.85814027292923,0.025408348457350273
Pullman,6820,365.0,3682.0,170.1472159,0.125617243,PULLMAN,0,0,0,0,0.0,7,0.0,0.0,0.0,0.0,0.0,2.565982404692082,0.0
Riverdale,7262,434.0,3191.0,226.938285,0.100472428,RIVERDALE,0,0,1,0,1.0,7,0.3442577802258331,0.3442577802258331,0.0,0.0,0.0,2.4098044615808316,0.0
Rogers Park,55628,2579.0,27495.0,3.163451111,0.00269019,ROGERS PARK,0,0,32,7,39.0,511,1.7527144603437117,1.438124685410225,0.3145897749334867,0.0,0.0,22.96505357014453,0.0136986301369863
Roseland,38816,3539.0,17276.0,154.3535512,0.05005923,ROSELAND,0,0,1,8,9.0,87,0.5796578730420445,0.06440643033800494,0.5152514427040396,0.0,0.0,5.6033594394064306,0.09195402298850575
South Chicago,27300,3312.0,14188.0,583.134459,0.272406682,SOUTH CHICAGO,0,0,3,4,7.0,78,0.6410256410256411,0.27472527472527475,0.3663003663003663,0.0,0.0,7.142857142857143,0.05128205128205128
South Deering,14105,768.0,6153.0,584.3352736,0.083785026,SOUTH DEERING,0,0,0,3,3.0,27,0.5317263381779511,0.0,0.5317263381779511,0.0,0.0,4.785537043601559,0.1111111111111111
South Lawndale,71399,2335.0,21052.0,217.8106395,0.074124669,SOUTH LAWNDALE,0,0,2,13,15.0,281,0.5252174400201683,0.07002899200268911,0.45518844801747926,0.0,0.0,9.83907337637782,0.046263345195729534
South Shore,53971,5813.0,30297.0,83.99646521,0.044742665,SOUTH SHORE,0,0,4,12,16.0,179,0.7411387597042857,0.18528468992607142,0.5558540697782143,0.0,0.0,8.291489874191695,0.0670391061452514
