docket,dept,violation_address,lat,long,community,ward_1523,violation_date,n_records
21DS20281M,STRTSAN,2321 W FOSTER AVE,41.97571215,-87.68767369969271,LINCOLN SQUARE,40.0,2021-02-03,1
21DS20291M,STRTSAN,5956 W HIGGINS AVE,41.97332345,-87.77785782546152,JEFFERSON PARK,45.0,2021-02-04,1
21DS20295M,STRTSAN,2807 W IRVING PARK RD,41.9537995,-87.6986172,IRVING PARK,33.0,2021-02-04,2
21DS20313M,STRTSAN,4856 S HERMITAGE AVE,41.805725013726544,-87.66864911800032,NEW CITY,15.0,2021-02-04,2
21DS20339M,STRTSAN,1200 W BELMONT AVE,41.9401529,-87.659326,LAKE VIEW,44.0,2021-02-05,1
21DS20379M,STRTSAN,2257 W FOSTER AVE,41.97585933039413,-87.68565985583832,LINCOLN SQUARE,40.0,2021-02-08,3
21DS20384M,STRTSAN,5004 S WINCHESTER AVE,41.802894449878536,-87.67344286124697,NEW CITY,15.0,2021-02-08,2
21DS20400M,STRTSAN,5220 N LINCOLN AVE,41.97702683277049,-87.69255788573244,LINCOLN SQUARE,40.0,2021-02-09,1
21DS20483M,STRTSAN,100 N KEDZIE AVE,41.88315915,-87.70652906434054,EAST GARFIELD PARK,28.0,2021-02-10,1
21DS20484M,STRTSAN,3220 W WASHINGTON BLVD,41.8830303,-87.70703261170252,EAST GARFIELD PARK,28.0,2021-02-10,2
21DS20485M,STRTSAN,3222 W WASHINGTON BLVD,41.88306295,-87.70714119543786,EAST GARFIELD PARK,28.0,2021-02-10,2
21DS20487M,STRTSAN,3311 W WASHINGTON BLVD,41.88268999467317,-87.70820177768759,EAST GARFIELD PARK,28.0,2021-02-10,8
21DS20489M,STRTSAN,3328 W WASHINGTON BLVD,41.88300135,-87.7097739053084,EAST GARFIELD PARK,28.0,2021-02-10,1
21DS20509M,STRTSAN,151 N CICERO AVE,41.88359165,-87.74492729886462,AUSTIN,28.0,2021-02-10,4
21DS20518M,STRTSAN,10 N KILBOURN AVE,41.88096235,-87.73835576302265,WEST GARFIELD PARK,28.0,2021-02-10,6
21DS20541M,STRTSAN,3345 W WASHINGTON BLVD,41.88268390359897,-87.70877909179492,EAST GARFIELD PARK,28.0,2021-02-10,1
21DS20544M,STRTSAN,6542 N CLARK ST,42.00119605,-87.67203792024337,ROGERS PARK,40.0,2021-02-23,2
21DS20545M,STRTSAN,6550 N CLARK ST,42.0014417,-87.67211947521321,ROGERS PARK,40.0,2021-02-23,1
21DS20596M,STRTSAN,6054 W SCHOOL ST,41.9404764,-87.77844615105292,DUNNING,30.0,2021-02-25,2
21DS20599M,STRTSAN,6105 S RICHMOND ST,41.78251775564723,-87.69703413398145,CHICAGO LAWN,16.0,2021-02-25,2
21DS20610M,STRTSAN,619 E 43RD ST,41.81666053644456,-87.61085262337846,GRAND BOULEVARD,4.0,2021-02-25,4
21DS20615M,STRTSAN,6307 S ARTESIAN AVE,41.77906575,-87.68464296947549,CHICAGO LAWN,16.0,2021-02-22,2
21DS20633M,STRTSAN,3238 W WALNUT ST,41.8854642494572,-87.70729214494413,EAST GARFIELD PARK,28.0,2021-02-22,4
21DS20635M,STRTSAN,5048 S DAMEN AVE,41.80238191235015,-87.67464753178257,NEW CITY,15.0,2021-02-22,1
21DS20651M,STRTSAN,4000 W DIVERSEY AVE,41.9320449,-87.7279336,AVONDALE,31.0,2021-02-25,2
21DS20661M,STRTSAN,5956 W HIGGINS AVE,41.97332345,-87.77785782546152,JEFFERSON PARK,45.0,2021-02-24,1
21DS20676M,STRTSAN,1500 W TAYLOR ST,41.8695537,-87.6643441,NEAR WEST SIDE,28.0,2021-02-22,3
21DS20685M,STRTSAN,4443 S ASHLAND AVE,41.8125813,-87.66476075811283,NEW CITY,11.0,2021-02-12,2
21DS20686M,STRTSAN,4420 S ASHLAND AVE,41.81361030591629,-87.66520804919287,NEW CITY,15.0,2021-02-12,6
21DS20687M,STRTSAN,1808 W 47TH ST,41.80884135,-87.67026369962687,NEW CITY,15.0,2021-02-12,2
21DS20688M,STRTSAN,4601 S ASHLAND AVE,41.81029255,-87.66461111437857,NEW CITY,15.0,2021-02-12,2
21DS20689M,STRTSAN,4412 S ASHLAND AVE,41.81374018356277,-87.66521122898521,NEW CITY,15.0,2021-02-12,6
21DS20690M,STRTSAN,4412 S ASHLAND AVE,41.81374018356277,-87.66521122898521,NEW CITY,15.0,2021-02-12,6
21DS20691M,STRTSAN,4412 S ASHLAND AVE,41.81374018356277,-87.66521122898521,NEW CITY,15.0,2021-02-12,6
21DS20692M,STRTSAN,4416 S ASHLAND AVE,41.81367524474635,-87.66520963881065,NEW CITY,15.0,2021-02-12,6
21DS20693M,STRTSAN,4426 S ASHLAND AVE,41.81351289767122,-87.6652056647662,NEW CITY,15.0,2021-02-12,3
21DS20694M,STRTSAN,1614 W 47TH ST,41.80882115,-87.66587232671927,NEW CITY,15.0,2021-02-12,1
21DS20699M,STRTSAN,2010 W 51ST ST,41.801304002987095,-87.67538185363232,NEW CITY,15.0,2021-02-22,2
21DS20719M,STRTSAN,100 N KEDZIE AVE,41.88315915,-87.70652906434054,EAST GARFIELD PARK,28.0,2021-02-16,1
21DS20723M,STRTSAN,3956 W BELMONT AVE,41.939184996701925,-87.72644827044205,AVONDALE,30.0,2021-02-24,1
21DS20730M,STRTSAN,618 E BOWEN AVE,41.81972575,-87.61099550379728,GRAND BOULEVARD,4.0,2021-02-23,2
21DS20733M,STRTSAN,656 E BOWEN AVE,41.81963585,-87.60962525019492,GRAND BOULEVARD,4.0,2021-02-23,2
21DS20734M,STRTSAN,716 E BOWEN AVE,41.81969025,-87.60873527251655,GRAND BOULEVARD,4.0,2021-02-23,2
21DS20741M,STRTSAN,932 W 59TH ST,41.787053327869295,-87.648810877032,ENGLEWOOD,16.0,2021-02-13,4
21DS20750M,STRTSAN,100 N KEDZIE AVE,41.88315915,-87.70652906434054,EAST GARFIELD PARK,28.0,2021-02-14,1
21DS20759M,STRTSAN,4318 S GREENWOOD AVE,41.81648128213535,-87.59951702564271,KENWOOD,4.0,2021-02-25,2
21DS20784M,STRTSAN,1617 W DEVON AVE,41.99787475,-87.67138231434944,EDGEWATER,40.0,2021-02-19,2
21DS20792M,STRTSAN,5216 N LINCOLN AVE,41.97699986538044,-87.6925537139815,LINCOLN SQUARE,40.0,2021-02-17,1
21DS20793M,STRTSAN,2300 W 63RD ST,41.7795429,-87.68156237367168,CHICAGO LAWN,16.0,2021-02-17,2
21DS20799M,STRTSAN,5500 S ARCHER AVE,41.79831935,-87.74718000216382,GARFIELD RIDGE,14.0,2021-02-19,1
21DS20801M,STRTSAN,5501 N ASHLAND AVE,41.9819278,-87.66937211172534,EDGEWATER,40.0,2021-02-19,1
21DS20805M,STRTSAN,2735 W LE MOYNE ST,41.908323,-87.69598636305254,WEST TOWN,1.0,2021-02-23,6
21DS20811M,STRTSAN,6701 S RACINE AVE,41.77215175,-87.65404249008475,ENGLEWOOD,16.0,2021-02-20,4
21DS20821M,STRTSAN,4324 S DREXEL BLVD,41.816356910921336,-87.60393225330478,KENWOOD,4.0,2021-02-26,4
21DS20826M,STRTSAN,2807 W IRVING PARK RD,41.9537995,-87.6986172,IRVING PARK,33.0,2021-02-24,4
